contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0xdcbEeA794B2F89A1A6eDF7bE9aFb16CF2F120c2c,78,1,2,78,2,3,50,0,0,82,2,2,78,2,3,50,0,0,4,0,0,1,0,0,0,0,0
0x62D5C4A317b93085697cFb1c775bE4398Df0678c,55,2,2,55,4,3,54,0,0,57,4,2,55,4,3,54,0,0,2,0,0,2,0,0,0,0,0
0x3dA0e01472Dee3746b4D324a65D7EdFaECa9Aa4f,125,1,2,126,3,3,124,0,0,129,3,2,126,3,3,124,0,0,4,0,0,2,0,0,0,0,0
0xF5C9F957705bea56a7e806943f98F7777B995826,175,2,2,180,3,2,180,0,0,184,3,2,180,3,2,180,0,0,9,0,0,1,0,0,0,0,0
0xc691bc298a304d591Ad9b352c7A8D216dE9f2CED,123,3,2,128,4,2,87,0,0,132,4,2,128,4,2,87,0,0,9,0,0,1,0,0,0,0,0
0x7589738dB9Bf618dEA9eDE5A371E474d3839d5D9,104,1,2,111,3,3,74,0,0,114,3,2,111,3,3,74,0,0,10,0,0,2,0,0,0,0,0
0xfFeF94550e02f04c805889aF0eeC2235AD208f78,342,2,2,347,4,3,247,0,0,350,4,2,347,4,3,247,0,0,8,0,0,2,0,0,0,0,0
0x51D041a67D3DC1De9921CeF0baC5f5237c92d819,107,2,2,112,3,2,70,0,1,114,3,2,112,3,2,70,0,1,7,0,0,1,0,0,0,0,0
0xA1D5443F2FB80A5A55ac804C948B45ce4C52DCbb,243,1,0,243,2,2,157,0,0,247,2,2,243,2,2,157,0,0,4,0,0,1,0,0,2,0,0
0x9bEA0625e581dF27Ef1ee5B97cf05e1Eea0d253F,120,1,2,122,2,3,122,0,1,125,2,2,122,2,3,122,0,1,5,0,0,1,0,0,0,0,0
